Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-21.920000,33.960000,180.000000,bottom
C3,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-20.904000,18.720000,180.000000,bottom
C4,10u,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,-14.808000,31.420000,180.000000,bottom
C5,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-19.888000,31.420000,-90.000000,bottom
C6,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-22.936000,31.420000,90.000000,bottom
C7,10u,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,-14.769500,19.228000,180.000000,bottom
C8,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-17.348000,11.608000,180.000000,bottom
C9,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-20.904000,11.608000,180.000000,bottom
C10,220p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-9.728000,30.404000,0.000000,bottom
C11,220p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-9.728000,25.832000,0.000000,bottom
C12,220p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-9.728000,24.308000,0.000000,bottom
C13,220p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-9.728000,19.736000,0.000000,bottom
C14,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-24.460000,11.608000,180.000000,bottom
C15,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-28.016000,11.608000,0.000000,bottom
C16,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-31.572000,11.608000,0.000000,bottom
C17,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-49.352000,22.784000,-90.000000,bottom
C18,10u,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,-49.860000,26.848000,180.000000,bottom
C19,10u,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,-52.400000,38.024000,0.000000,bottom
C20,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-54.432000,25.324000,180.000000,bottom
C21,4u7,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-20.396000,43.104000,-90.000000,bottom
C22,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-55.448000,22.784000,-90.000000,bottom
C23,10u,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,-59.004000,26.848000,0.000000,bottom
C24,4u7,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-54.432000,27.864000,0.000000,bottom
C25,4u7,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-50.368000,30.912000,-90.000000,bottom
C26,10u,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,-62.560000,31.420000,-90.000000,bottom
C27,2n2,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-47.828000,30.404000,180.000000,bottom
C28,2n2,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-47.828000,34.976000,0.000000,bottom
D1,BAT54C,SOT-23,-26.492000,41.580000,0.000000,bottom
FB1,FerriteBead_Small,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-9.728000,28.880000,180.000000,bottom
FB2,FerriteBead_Small,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-9.728000,27.356000,180.000000,bottom
FB3,FerriteBead_Small,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-9.728000,22.784000,180.000000,bottom
FB4,FerriteBead_Small,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-9.728000,21.260000,180.000000,bottom
J1,GPIO,PinSocket_2x20_P2.54mm_Vertical,-8.370000,51.230000,-90.000000,bottom
J7,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,-4.140000,42.596000,90.000000,bottom
Q1,2N7002,SOT-23,-38.176000,11.608000,-90.000000,bottom
Q2,2N7002,SOT-23,-48.844000,11.608000,-90.000000,bottom
Q3,2N7002,SOT-23,-41.732000,11.608000,-90.000000,bottom
Q4,2N7002,SOT-23,-52.400000,11.608000,-90.000000,bottom
Q5,2N7002,SOT-23,-45.288000,11.608000,-90.000000,bottom
Q6,2N7002,SOT-23,-55.956000,11.608000,-90.000000,bottom
Q7,AO3401A,SOT-23,-17.348000,39.548000,180.000000,bottom
Q8,2N7002,SOT-23,-17.348000,43.104000,180.000000,bottom
R1,10,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-10.744000,42.596000,90.000000,bottom
R2,5k11,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-10.744000,46.152000,90.000000,bottom
R3,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-21.412000,31.420000,-90.000000,bottom
R4,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-20.904000,20.244000,0.000000,bottom
R5,10,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-18.364000,31.420000,90.000000,bottom
R6,33k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-19.888000,7.544000,90.000000,bottom
R7,33k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-18.364000,7.544000,-90.000000,bottom
R8,33k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-22.936000,7.544000,90.000000,bottom
R9,33k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-21.412000,7.544000,-90.000000,bottom
R10,33k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-25.984000,7.544000,90.000000,bottom
R11,100,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-24.460000,7.544000,-90.000000,bottom
R12,33k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-29.032000,7.544000,90.000000,bottom
R13,33k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-27.508000,7.544000,-90.000000,bottom
R14,100,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-40.716000,7.544000,-90.000000,bottom
R15,100,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-43.256000,7.544000,-90.000000,bottom
R16,100,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-45.796000,7.544000,-90.000000,bottom
R17,100,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-48.336000,7.544000,-90.000000,bottom
R18,100,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-50.876000,7.544000,-90.000000,bottom
R19,100,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-53.416000,7.544000,-90.000000,bottom
R20,33k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-32.080000,7.544000,90.000000,bottom
R21,33k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-30.556000,7.544000,-90.000000,bottom
R22,470,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-47.828000,31.928000,180.000000,bottom
R23,470,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-47.828000,33.452000,180.000000,bottom
R24,100k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-20.396000,39.548000,-90.000000,bottom
R25,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-21.920000,39.548000,90.000000,bottom
R26,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-21.920000,43.104000,-90.000000,bottom
R27,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-23.444000,39.548000,90.000000,bottom
R28,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-23.444000,43.104000,-90.000000,bottom
R30,5k11,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-10.744000,39.040000,-90.000000,bottom
U1,PAM8406,SOP-16_3.9x9.9mm_P1.27mm,-17.856000,25.324000,-90.000000,bottom
U2,TPS79333-EP,SOT-23-5,-52.400000,22.784000,0.000000,bottom
U3,PCM5102,TSSOP-20_4.4x6.5mm_P0.65mm,-55.448000,32.436000,0.000000,bottom
U4,CAT24C32,TSSOP-8_4.4x3mm_P0.65mm,-46.304000,46.152000,180.000000,bottom
