Designator,Val,Package,"Mid X","Mid Y",Rotation,Layer
"C2","1u","C_0603_1608Metric",-122.936000,-68.580000,-90.000000,bottom
"C3","1u","C_0603_1608Metric",-122.428000,-80.264000,90.000000,bottom
"C4","10u","C_0603_1608Metric",-115.824000,-69.596000,180.000000,bottom
"C5","1u","C_0603_1608Metric",-119.888000,-68.580000,-90.000000,bottom
"C6","1u","C_0603_1608Metric",-124.460000,-72.136000,-90.000000,bottom
"C7","10u","C_0603_1608Metric",-115.824000,-79.756000,180.000000,bottom
"C8","1u","C_0603_1608Metric",-117.348000,-88.392000,180.000000,bottom
"C9","1u","C_0603_1608Metric",-120.904000,-88.392000,180.000000,bottom
"C10","220p","C_0603_1608Metric",-109.728000,-69.596000,0.000000,bottom
"C11","220p","C_0603_1608Metric",-109.728000,-74.168000,0.000000,bottom
"C12","220p","C_0603_1608Metric",-109.728000,-75.692000,0.000000,bottom
"C13","220p","C_0603_1608Metric",-109.728000,-80.264000,0.000000,bottom
"C14","1u","C_0603_1608Metric",-124.460000,-88.392000,180.000000,bottom
"C15","1u","C_0603_1608Metric",-128.016000,-88.392000,0.000000,bottom
"C16","1u","C_0603_1608Metric",-131.572000,-88.392000,0.000000,bottom
"C17","100n","C_0603_1608Metric",-136.144000,-79.248000,90.000000,bottom
"C18","10u","C_0603_1608Metric",-129.032000,-76.200000,180.000000,bottom
"C19","10u","C_0603_1608Metric",-127.508000,-68.580000,90.000000,bottom
"C20","100n","C_0603_1608Metric",-131.064000,-81.788000,0.000000,bottom
"C21","4u7","C_0603_1608Metric",-120.396000,-56.896000,-90.000000,bottom
"C22","100n","C_0603_1608Metric",-130.048000,-79.248000,90.000000,bottom
"C23","10u","C_0603_1608Metric",-135.128000,-76.200000,0.000000,bottom
"C24","4u7","C_0603_1608Metric",-132.080000,-76.200000,0.000000,bottom
"C25","4u7","C_0603_1608Metric",-127.508000,-73.152000,-90.000000,bottom
"C26","10u","C_0603_1608Metric",-137.668000,-73.660000,-90.000000,bottom
"C27","2n2","C_0603_1608Metric",-125.984000,-68.580000,-90.000000,bottom
"C28","2n2","C_0603_1608Metric",-125.476000,-80.264000,90.000000,bottom
"D1","BAT54C","SOT-23",-126.492000,-58.420000,0.000000,bottom
"FB1","FerriteBead_Small","R_0603_1608Metric",-109.728000,-71.120000,180.000000,bottom
"FB2","FerriteBead_Small","R_0603_1608Metric",-109.728000,-72.644000,180.000000,bottom
"FB3","FerriteBead_Small","R_0603_1608Metric",-109.728000,-77.216000,180.000000,bottom
"FB4","FerriteBead_Small","R_0603_1608Metric",-109.728000,-78.740000,180.000000,bottom
"J1","GPIO","PinSocket_2x20_P2.54mm_Vertical",-108.370000,-48.770000,-90.000000,bottom
"J7","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",-104.140000,-57.404000,90.000000,bottom
"Q1","2N7002","SOT-23",-138.176000,-88.392000,-90.000000,bottom
"Q2","2N7002","SOT-23",-148.844000,-88.392000,-90.000000,bottom
"Q3","2N7002","SOT-23",-141.732000,-88.392000,-90.000000,bottom
